iter	Huber:delta=1.5
0	0.03817046979
1	0.03733448325
2	0.03653711832
3	0.0358092468
4	0.03506196085
5	0.03428807631
6	0.03374671034
7	0.03319278546
8	0.03267133386
9	0.03200414306
10	0.0314091582
11	0.03087816565
12	0.03032668888
13	0.02985188644
14	0.02935208303
15	0.0289418148
16	0.02849951772
17	0.0280561296
18	0.02765043961
19	0.02730333167
20	0.02679295352
21	0.02651360798
22	0.02615338541
23	0.02575140259
24	0.02539637286
25	0.02509336818
26	0.02477716647
27	0.02439894613
28	0.0240083823
29	0.02374864866
30	0.02337860518
31	0.02305324993
32	0.02279881757
33	0.02250834899
34	0.022246203
35	0.02192668377
36	0.02172609674
37	0.02146841835
38	0.02126562368
39	0.02099473355
40	0.02075155325
41	0.02051518301
42	0.0202694195
43	0.02004081197
44	0.01984318757
45	0.01962720063
46	0.01933514564
47	0.01919899163
48	0.01898855423
49	0.01879494228
50	0.01862078062
51	0.01837071344
52	0.01817352318
53	0.01801100148
54	0.01783439389
55	0.01763662114
56	0.01743763725
57	0.01728515662
58	0.01712728836
59	0.01692588929
60	0.01681282881
61	0.01664539446
62	0.01645336998
63	0.01631383145
64	0.01616956598
65	0.01605050696
66	0.01591488605
67	0.0157755661
68	0.01563738499
69	0.01546821532
70	0.01530982201
71	0.01512127225
72	0.01505450726
73	0.01493745067
74	0.01482408629
75	0.01468385406
76	0.0145480493
77	0.01442731554
78	0.01435449097
79	0.0142410162
80	0.01416173666
81	0.01404959411
82	0.013886059
83	0.01375183907
84	0.01362503016
85	0.01354120998
86	0.01342366541
87	0.01332051833
88	0.01321684257
89	0.01310937968
90	0.01301158601
91	0.01289953849
92	0.01277014265
93	0.01265922486
94	0.01256394999
95	0.01246633371
96	0.01237475309
97	0.01227165289
98	0.01216930439
99	0.01203526141
100	0.0119304268
101	0.01189830185
102	0.01186489832
103	0.0117941812
104	0.01170497264
105	0.01160592036
106	0.01152122498
107	0.01144052206
108	0.01131948001
109	0.01120351576
110	0.01110520614
111	0.01101488486
112	0.01091704794
113	0.01082667466
114	0.01074535306
115	0.0106977085
116	0.01065552024
117	0.01057713503
118	0.01051506364
119	0.01044301417
120	0.01038879444
121	0.01034213507
122	0.01026709605
123	0.0101961881
124	0.01010441176
125	0.01004476382
126	0.009990746069
127	0.009940671915
128	0.009864814831
129	0.009811919031
130	0.009754411524
131	0.00969297999
132	0.009600990652
133	0.009557606108
134	0.009491692813
135	0.009444907725
136	0.009373641669
137	0.009282506931
138	0.009229793456
139	0.009153535077
140	0.009108064121
141	0.009067623721
142	0.008994104429
143	0.008942709909
144	0.008874543872
145	0.00883676941
146	0.008789377729
147	0.008764004401
148	0.008674253924
149	0.008610854224
150	0.00854383214
151	0.008472535005
152	0.008447769324
153	0.008389151094
154	0.008330690699
155	0.008277756449
156	0.008232559317
157	0.008175911497
158	0.008149298875
159	0.008104957965
160	0.008075667478
161	0.008007135216
162	0.007958515504
163	0.007936810259
164	0.007898989314
165	0.007871476486
166	0.007834774038
167	0.007765312834
168	0.007689342605
169	0.007633765009
170	0.007585900441
171	0.007528530763
172	0.007483134694
173	0.007442795856
174	0.007401951059
175	0.007354878972
176	0.007313206251
177	0.007281242076
178	0.007226738872
179	0.00718630864
180	0.00713894825
181	0.0071087183
182	0.007089576683
183	0.0070461866
184	0.006989461944
185	0.006962418163
186	0.006924774922
187	0.006919033714
188	0.006855659367
189	0.006811948875
190	0.006762470611
191	0.006713485576
192	0.006663260259
193	0.006613735279
194	0.00657882365
195	0.006544004965
196	0.006510943754
197	0.006468821163
198	0.006446864656
199	0.006405808175
200	0.006372904588
201	0.006327692601
202	0.006309735628
203	0.006269154642
204	0.006263256046
205	0.006236165043
206	0.006204970077
207	0.006162656181
208	0.00614356185
209	0.006109172311
210	0.006079617939
211	0.006041393967
212	0.005996048811
213	0.00595478872
214	0.005908890037
215	0.005873274465
216	0.005845560727
217	0.005839802816
218	0.005805452626
219	0.005766585642
220	0.005719246475
221	0.005696816072
222	0.005652720823
223	0.005647216458
224	0.005635188468
225	0.005618081994
226	0.005564105736
227	0.00554643347
228	0.005536248042
229	0.005504002637
230	0.005491068479
231	0.005454533847
232	0.005421190681
233	0.005389239218
234	0.005354938436
235	0.005349406951
236	0.005341469289
237	0.005308732641
238	0.005256645356
239	0.005220613358
240	0.005186697558
241	0.005157260134
242	0.005111746678
243	0.005067714273
244	0.005032203965
245	0.005006883442
246	0.004982856274
247	0.004956041531
248	0.004911231883
249	0.004868058556
250	0.004863349436
251	0.004855623931
252	0.004814953065
253	0.00477586121
254	0.004745589544
255	0.004713430324
256	0.004691104454
257	0.004658690854
258	0.00464021203
259	0.004632708107
260	0.004609445395
261	0.004567240693
262	0.004542647288
263	0.004525871909
264	0.004498940217
265	0.0044594367
266	0.004434405178
267	0.004426960696
268	0.00439635304
269	0.004385077593
270	0.004367377045
271	0.004350336098
272	0.004323202952
273	0.004285931528
274	0.004269496685
275	0.004243858555
276	0.004206147577
277	0.004176688519
278	0.004148460133
279	0.004119728251
280	0.004115167599
281	0.004089667575
282	0.004068666159
283	0.004049076793
284	0.004026241701
285	0.004018461472
286	0.00399262321
287	0.003966178009
288	0.003943847759
289	0.003939912502
290	0.003929912835
291	0.003903378035
292	0.003878138339
293	0.003845981426
294	0.003824841741
295	0.003793051801
296	0.003759350613
297	0.003743004363
298	0.003725920964
299	0.003713760996
300	0.00370716653
301	0.00367719975
302	0.003649068286
303	0.003641124158
304	0.003620640643
305	0.003593641376
306	0.003572439227
307	0.003548885991
308	0.003527984867
309	0.003508415413
310	0.003482658274
311	0.003467260196
312	0.003447403106
313	0.003428026587
314	0.003404459672
315	0.003384044042
316	0.003364386751
317	0.003357591397
318	0.003341062861
319	0.003312410318
320	0.003293444139
321	0.003270563917
322	0.003253890406
323	0.00323309287
324	0.003203988446
325	0.00318229712
326	0.003156444996
327	0.00313752324
328	0.003132922328
329	0.003106356106
330	0.003087047761
331	0.003073581971
332	0.003040937856
333	0.003024107767
334	0.003005081928
335	0.00298775094
336	0.002970715103
337	0.002953750137
338	0.002949619392
339	0.002935681205
340	0.002915695522
341	0.002910435236
342	0.002895429442
343	0.002874934466
344	0.002866082474
345	0.002862658034
346	0.002842219254
347	0.002820939107
348	0.00280389712
349	0.002785853394
350	0.002776945443
351	0.002758141779
352	0.002742605803
353	0.002724402683
354	0.002703130141
355	0.002687155817
356	0.002675089406
357	0.002663184315
358	0.002647130415
359	0.00263103289
360	0.002613676296
361	0.002597646319
362	0.002583975638
363	0.002566558316
364	0.002560227057
365	0.002541783078
366	0.002539212524
367	0.00252266891
368	0.00251913055
369	0.00250810391
370	0.002486603309
371	0.002474491108
372	0.002457480628
373	0.002455213797
374	0.002441615684
375	0.002423696842
376	0.002413123111
377	0.002397312882
378	0.002387586262
379	0.002371244018
380	0.002364166323
381	0.00234901054
382	0.002333695023
383	0.002331041936
384	0.002319960125
385	0.002305367048
386	0.002302450137
387	0.002286336234
388	0.002273010394
389	0.002270126315
390	0.002258317851
391	0.002243661022
392	0.002240377075
393	0.002227030192
394	0.002209347464
395	0.002196562498
396	0.00219317495
397	0.002175735078
398	0.002162519829
399	0.002160431412
