month_period,id,masterId,propertyId,roomId,numChild,price,commission,range_booking_arrival,num_of_nights,price_per_day,year,month,year_month,used_room_nights,leftover_rooms
2025-04,68704190.46774194,57809585.27760173,158986.0,350455.0,0.0,729307.4032258064,146739.67741935485,2.903225806451613,2.919354838709677,263294.1552547363,2025,4,2025_04,214.0,26.0
2025-05,69712881.01818182,58057991.17472408,158986.0,350455.0,0.0,1037997.4727272728,210713.47272727272,5.709090909090909,3.2,344793.71876750706,2025,5,2025_05,245.0,3.0
2025-06,71260824.76470588,58435705.2325274,158986.0,350455.0,0.0,1060257.5882352942,215232.2794117647,3.014705882352941,2.7058823529411766,408317.3222689076,2025,6,2025_06,205.0,35.0
2025-07,72140785.0,59162992.91595532,158986.0,350455.0,0.0,1692384.7368421052,343554.15789473685,7.894736842105263,3.5789473684210527,475310.4909048938,2025,7,2025_07,139.0,109.0
2026-01,80634072.28571428,57630054.20018536,158986.0,350455.0,0.0,1259276.857142857,217854.85714285716,2.0,4.857142857142857,259618.86904761905,2026,1,2026_01,55.0,193.0
2026-03,81204914.5,57630054.20018536,158986.0,350455.0,0.0,1521000.0,263133.0,49.5,5.5,277875.0,2026,3,2026_03,11.0,237.0
2026-04,80970953.0,57630054.20018536,158986.0,350455.0,0.0,2065500.0,357331.5,77.5,6.0,344250.0,2026,4,2026_04,12.0,228.0
2026-05,81070741.0,57630054.20018536,158986.0,350455.0,0.0,1311037.0,226810.0,117.0,4.0,327759.25,2026,5,2026_05,4.0,244.0
2026-06,81022755.0,57630054.20018536,158986.0,350455.0,1.0,3179245.0,550010.0,154.0,7.0,454177.8571428572,2026,6,2026_06,7.0,233.0
2026-07,80800804.5,69215429.10009268,158986.0,350455.0,1.0,2844358.0,492073.75,178.0,5.0,568871.6,2026,7,2026_07,20.0,228.0
2026-08,80631308.0,76031055.64003707,158986.0,350455.0,1.0,1727827.0,298914.0,214.0,3.0,575942.3333333334,2026,8,2026_08,15.0,233.0
2026-09,81315542.0,76578442.84003708,158986.0,350455.0,0.0,1143000.0,197739.0,243.0,2.0,571500.0,2026,9,2026_09,10.0,230.0
2022-07,32992466.83333333,53536870.8334878,158990.0,350464.0,0.25,646339.9166666666,116341.33333333331,1.1666666666666667,2.5,281179.9722222222,2022,7,2022_07,42.0,330.0
2022-08,33348352.27835052,52815899.38777792,158990.0,350464.0,0.0309278350515463,808832.8762886598,145589.96907216494,7.041237113402062,2.6082474226804124,311115.4060710195,2022,8,2022_08,280.0,92.0
2022-09,34248193.07936508,56148620.187475175,158990.0,350464.0,0.0317460317460317,832563.2063492064,149861.3650793651,3.920634920634921,2.619047619047619,340028.2001133787,2022,9,2022_09,232.0,128.0
2022-10,35051167.69387755,53501510.18382479,158990.0,350464.0,0.0,848354.2653061225,160877.20408163266,6.591836734693878,2.4489795918367347,350425.32312925166,2022,10,2022_10,188.0,184.0
2022-11,35637954.51724138,51549355.14496181,158990.0,350464.0,0.0,910494.0,163888.93103448275,12.275862068965518,2.896551724137931,326374.18160919537,2022,11,2022_11,155.0,205.0
2022-12,36617089.36363637,53826400.648636505,158990.0,350464.0,0.0,1138049.818181818,204848.9696969697,11.030303030303031,2.6666666666666665,402288.1383061383,2022,12,2022_12,106.0,266.0
2023-01,37205429.47826087,52275106.75665874,158990.0,350464.0,0.0,1001570.0434782607,180282.65217391303,15.173913043478262,3.4347826086956523,350169.39411572414,2023,1,2023_01,152.0,220.0
2023-02,37980137.54166666,50204018.79178252,158990.0,350464.0,0.0,1290213.375,232238.41666666663,23.45833333333333,3.75,315417.1875,2023,2,2023_02,114.0,222.0
2023-03,39202578.78571428,53616526.33585993,158990.0,350464.0,0.0,1578327.9642857143,284099.03571428574,15.071428571428571,4.142857142857143,416551.2174036281,2023,3,2023_03,202.0,170.0
2023-04,40351689.9245283,52821258.08692535,158990.0,350464.0,0.0,1097180.5283018867,197492.5283018868,12.943396226415096,2.547169811320755,428310.3647798742,2023,4,2023_04,222.0,138.0
2023-05,41334363.64044944,55968935.95522279,158990.0,350464.0,0.0,1151235.4719101123,207222.35955056176,17.820224719101123,2.460674157303371,469942.5548421616,2023,5,2023_05,265.0,107.0
2023-06,41795087.3373494,55015998.08449368,158990.0,350464.0,0.0,1481999.9156626507,266759.9638554217,36.72289156626506,2.9759036144578315,502095.74016064254,2023,6,2023_06,288.0,72.0
2023-07,41897590.94827586,54415276.59325366,158990.0,350464.0,0.0,2105962.396551724,379073.2586206897,63.27586206896552,3.1379310344827585,681056.7412151068,2023,7,2023_07,268.0,104.0
2023-08,41956189.19354839,53331895.48078418,158990.0,350464.0,0.0,2009166.5241935484,361649.9516129032,92.71774193548389,2.620967741935484,758834.3798387096,2023,8,2023_08,345.0,27.0
2023-09,45324751.16504855,55340600.89335685,158990.0,350464.0,0.0,2132011.3980582524,383762.0776699029,31.87378640776699,2.8058252427184467,793237.8361534905,2023,9,2023_09,336.0,24.0
2023-10,46820833.34065934,55379241.34740144,158990.0,350464.0,0.0,1315635.8461538462,236814.46153846156,17.065934065934066,2.7252747252747254,483448.9005494506,2023,10,2023_10,274.0,98.0
2023-11,47943067.05405405,54812989.25418932,158990.0,350464.0,0.0,978210.9189189188,176078.0,14.513513513513514,2.675675675675676,375963.77895752894,2023,11,2023_11,125.0,235.0
2023-12,49024462.57575758,54795884.13345691,158990.0,350464.0,0.0,1310588.0909090908,255958.0303030303,9.696969696969695,2.727272727272727,492395.2424242424,2023,12,2023_12,102.0,84.0
2024-01,50220720.26470588,56335305.84132912,158990.0,350464.0,0.0,963222.7941176472,221541.20588235292,3.0294117647058822,2.735294117647059,401984.026114082,2024,1,2024_01,108.0,78.0
2024-02,51067843.26530612,56335905.9960659,158990.0,350464.0,0.0,1038929.6530612244,237431.32653061225,11.122448979591836,2.7346938775510203,376748.880952381,2024,2,2024_02,159.0,15.0
2024-03,51727380.309523806,56917467.34302044,158990.0,350464.0,0.0,1101188.4761904762,251109.07142857145,24.666666666666668,2.5476190476190474,430738.6666666667,2024,3,2024_03,147.0,39.0
2024-04,53077905.11627907,56820200.21410867,158990.0,350464.0,0.0,1175028.1162790698,266152.6046511628,24.232558139534884,2.488372093023256,502109.5149501661,2024,4,2024_04,125.0,55.0
2024-05,53788851.654545456,56294329.2910439,158990.0,350464.0,0.0,1372960.1090909091,315780.8181818182,33.50909090909091,2.709090909090909,503432.8627705628,2024,5,2024_05,170.0,16.0
2024-06,53959780.27027027,55454065.90281292,158990.0,350464.0,0.0,1739967.5675675676,400192.5135135135,58.729729729729726,3.027027027027027,614018.9189189189,2024,6,2024_06,124.0,26.0
2024-07,55162918.96078432,56727462.16876557,158990.0,350464.0,0.0,2081704.9019607843,478792.137254902,64.05882352941177,2.6862745098039214,775962.6470588235,2024,7,2024_07,139.0,16.0
2024-08,55036624.58,57476111.75618165,158990.0,350464.0,0.0,2408279.5,553904.28,98.28,2.64,908462.5,2024,8,2024_08,150.0,5.0
2024-09,57336861.0,57054373.100141466,158990.0,350464.0,0.0,2131049.4736842103,490141.36842105264,72.71052631578948,3.0526315789473686,705278.245614035,2024,9,2024_09,128.0,22.0
2024-10,58904566.71428572,57741539.13350104,158990.0,350464.0,0.0,1462754.2857142857,339035.28571428574,63.0,2.7142857142857144,544072.380952381,2024,10,2024_10,77.0,78.0
2024-11,61668562.05128205,58004822.702716194,158990.0,350464.0,0.0,1077336.5384615385,248680.41025641025,26.23076923076923,2.6153846153846154,402890.8653846154,2024,11,2024_11,113.0,37.0
